main_category,subcategory,title,price,rating,reviews,url
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,[Type-C Version]MAGICSHINE RN120 V2.0 Bike Taillight 260° Visibility IPX6 Waterproof 2000m Distance Bicycle Rear Light for Night Cycling,£15.48,4.94,50 reviews,https://www.banggood.com/Type-C-VersionMAGICSHINE-RN120-V2_0-Bike-Taillight-260-Visibility-IPX6-Waterproof-2000m-Distance-Bicycle-Rear-Light-for-Night-Cycling-p-1993805.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,Astrolux® BL04 Digital Bike Headlight 1600LM Dual Distance Beam 6000mAh Portable Power Bank Type-C Charging Memory Mode Waterproof Bicycle Front Light for Electric Bike MTB Bike Flashlight,£18.57,4.95,39 reviews,https://www.banggood.com/Astrolux-BL04-Digital-Bike-Headlight-1600LM-Dual-Distance-Beam-6000mAh-Portable-Power-Bank-Type-C-Charging-Memory-Mode-Waterproof-Bicycle-Front-Light-for-Electric-Bike-MTB-Bike-Flashlight-p-2009241.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,Astrolux® SL06 2000Lm Brightness & Vibration Smart  Brake-activated Bike Headlights 6 LED 4800mAh Battery IPX6 Waterproof 6 Light Modes Type-C USB Rechargeable Aluminum Alloy Front Light for Electric Bike Scooter MTB Bicycle,£20.12,4.98,55 reviews,https://www.banggood.com/Astrolux-SL06-2000Lm-Brightness-and-Vibration-Smart-Brake-activated-Bike-Headlights-6-LED-4800mAh-Battery-IPX6-Waterproof-6-Light-Modes-Type-C-USB-Rechargeable-Aluminum-Alloy-Front-Light-for-Electric-Bike-Scooter-MTB-Bicycle-p-1998221.html?cur_warehouse=CN&ID=6325004&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,Astrolux® BS06 2000Lm Brightness Bike Headlights 6 LED Large Beads 10000mAh Battery Dual Distance Beam Design IPX6 Waterproof 5 Light Modes Type-C Fast Charge Easy to Install Bicycle Front Light Flashlight,£19.35,4.97,38 reviews,https://www.banggood.com/Astrolux-BS06-2000Lm-Brightness-Bike-Headlights-6-LED-Large-Beads-10000mAh-Battery-Dual-Distance-Beam-Design-IPX6-Waterproof-5-Light-Modes-Type-C-Fast-Charge-Easy-to-Install-Bicycle-Front-Light-Flashlight-p-2001367.html?cur_warehouse=CN&ID=6325004&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,Astrolux® BL06 3+3 LEDs 2000LM Bike Headlight Dual Distance Beam 10000mAh Phone Power Bank Bike Light USB Rechargeable LED Handlebar Flashlight for Electric Bike Electric Scooter MTB Bicycle,£30.96,4.91,70 reviews,https://www.banggood.com/Astrolux-BL06-3+3-LEDs-2000LM-Bike-Headlight-Dual-Distance-Beam-10000mAh-Phone-Power-Bank-Bike-Light-USB-Rechargeable-LED-Handlebar-Flashlight-for-Electric-Bike-Electric-Scooter-MTB-Bicycle-p-1975188.html?cur_warehouse=CN&ID=6321121&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,LAOTIE B06 B08 5000Lm Brightness Bike Headlight 8 LED Large Beads Dual Distance Beam Design 10000mAh Battery Phone Emergency Power Bank IPX5 Waterproof 4 Light Modes Fast Charge Bicycle Digital Display Front Light for Electric Bike Scooter MTB Bikes,£16.25,4.98,62 reviews,https://www.banggood.com/LAOTIE-B06-B08-5000Lm-Brightness-Bike-Headlight-8-LED-Large-Beads-Dual-Distance-Beam-Design-10000mAh-Battery-Phone-Emergency-Power-Bank-IPX5-Waterproof-4-Light-Modes-Fast-Charge-Bicycle-Digital-Display-Front-Light-for-Electric-Bike-Scooter-MTB-Bikes-p-2023549.html?cur_warehouse=CN&ID=6329636&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,Astrolux® BL03 XPG LED 1200LM Bike Headlight Support Wire Remote Switch 6000mAh High Capacity Power Bank Dual Distance Beam Bike Light USB Rechargeable LED Bicycle Handlebar Flashlight for Electric Bike Electric Scooter,£16.25,4.94,388 reviews,https://www.banggood.com/Astrolux-BL03-XPG-LED-1200LM-Bike-Headlight-Support-Wire-Remote-Switch-6000mAh-High-Capacity-Power-Bank-Dual-Distance-Beam-Bike-Light-USB-Rechargeable-LED-Bicycle-Handlebar-Flashlight-for-Electric-Bike-Electric-Scooter-p-1901992.html?cur_warehouse=CN&ID=6321121&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,BIKIGHT 3-in-1 350LM COB Bike Light + USB Horn Lamp + Speed Meter LCD Screen 5-Modes Waterproof Bicycle Headlight With Horn,£12.38,4.88,893 reviews,https://www.banggood.com/BIKIGHT-3-in-1-350LM-COB-Bike-Light-+-USB-Horn-Lamp-+-Speed-Meter-LCD-Screen-5-Modes-Waterproof-Bicycle-Headlight-With-Horn-p-1749471.html?cur_warehouse=CN&ID=6287842&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,600LM XPG + 2 LED Bicycle German Standard Smart Sensor Warning Light Bike Front Light Headlight,£13.15,4.91,2600 reviews,https://www.banggood.com/600LM-XPG-+-2-LED-Bicycle-German-Standard-Smart-Sensor-Warning-Light-Bike-Front-Light-Headlight-p-1142083.html?cur_warehouse=CN&ID=6325004&rmmds=CategorySportsPop&trace_id=1ca01763853433859
https://www.banggood.com/Wholesale-Sports-and-Outdoors-ca-6001.html?bid=210702&from=nav,https://www.banggood.com/Wholesale-Bike-Lights-ca-6004.html?bid=80730,BIKIGHT Bike Headlight 1200mAh Battery Dual Distance Beam Design Waterproof 4 Light Modes Type-C Fast Charge Power Display Bicycle Front Light Flashlight for Cycling,£6.96,5.00,8 reviews,https://www.banggood.com/BIKIGHT-Bike-Headlight-1200mAh-Battery-Dual-Distance-Beam-Design-Waterproof-4-Light-Modes-Type-C-Fast-Charge-Power-Display-Bicycle-Front-Light-Flashlight-for-Cycling-p-2023400.html?cur_warehouse=CN&ID=6157193&rmmds=CategorySportsPop&trace_id=1ca01763853433859
